folder	file	element_id	chapitre	seance	type
chapitre-01-limites-et-continuite	seance-1-1-1-cours-partie1.txt	130019	Chapitre 1 : Limites et continuité	Séance 1-1-1 : Limites et continuité - Partie 1 (Cours)	Cours
chapitre-01-limites-et-continuite	seance-1-1-2-exercices-partie1.txt	130020	Chapitre 1 : Limites et continuité	Séance 1-1-2 : Limites et continuité - Partie 1 (Exercices)	Exercices
chapitre-01-limites-et-continuite	seance-1-2-1-cours-partie2.txt	130021	Chapitre 1 : Limites et continuité	Séance 1-2-1 : Limites et continuité - Partie 2 (Cours)	Cours
chapitre-01-limites-et-continuite	seance-1-2-2-exercices-partie2.txt	130022	Chapitre 1 : Limites et continuité	Séance 1-2-2 : Limites et continuité - Partie 2 (Exercices)	Exercices
chapitre-01-limites-et-continuite	seance-1-3-1-cours-partie3.txt	130023	Chapitre 1 : Limites et continuité	Séance 1-3-1 : Limites et continuité - Partie 3 (Cours)	Cours
chapitre-01-limites-et-continuite	seance-1-3-2-exercices-partie3.txt	130024	Chapitre 1 : Limites et continuité	Séance 1-3-2 : Limites et continuité - Partie 3 (Exercices)	Exercices
chapitre-01-limites-et-continuite	seance-1-4-probleme-de-synthese.txt	130025	Chapitre 1 : Limites et continuité	Séance 1-4 : Limites et continuité - Problème de synthèse	Problème de synthèse
chapitre-02-suites-numeriques	seance-2-1-1-cours-partie1.txt	130026	Chapitre 2 : Suites numériques	Séance 2-1-1 : Suites numériques - Partie 1 (Cours)	Cours
chapitre-02-suites-numeriques	seance-2-1-2-exercices-partie1.txt	130027	Chapitre 2 : Suites numériques	Séance 2-1-2 : Suites numériques - Partie 1 (Exercices)	Exercices
chapitre-02-suites-numeriques	seance-2-2-1-cours-partie2.txt	130028	Chapitre 2 : Suites numériques	Séance 2-2-1 : Suites numériques - Partie 2 (Cours)	Cours
chapitre-02-suites-numeriques	seance-2-2-2-exercices-partie2.txt	130029	Chapitre 2 : Suites numériques	Séance 2-2-2 : Suites numériques - Partie 2 (Exercices)	Exercices
chapitre-02-suites-numeriques	seance-2-3-1-cours-partie3.txt	130030	Chapitre 2 : Suites numériques	Séance 2-3-1 : Suites numériques - Partie 3 (Cours)	Cours
chapitre-02-suites-numeriques	seance-2-3-2-exercices-partie3.txt	130031	Chapitre 2 : Suites numériques	Séance 2-3-2 : Suites numériques - Partie 3 (Exercices)	Exercices
chapitre-02-suites-numeriques	seance-2-4-probleme-de-synthese.txt	130032	Chapitre 2 : Suites numériques	Séance 2-4 : Suites numériques - Problème de synthèse	Problème de synthèse
chapitre-03-derivation-et-etude-des-fonctions	seance-3-1-1-cours-partie1.txt	130033	Chapitre 3 : Dérivation et étude des fonctions	Séance 3-1-1 : Dérivation et étude des fonctions - Partie 1 (Cours)	Cours
