year	session	nature	element
2016	normale	sujet	65645
2016	normale	corrige	65646
2016	rattrapage	sujet	65647
2016	rattrapage	corrige	65648
2017	normale	sujet	65633
2017	normale	corrige	65634
2017	rattrapage	sujet	65635
2017	rattrapage	corrige	65636
2018	normale	sujet	106211
2018	normale	corrige	106212
2018	rattrapage	sujet	65514
2018	rattrapage	corrige	65515
2019	normale	sujet	68262
2019	normale	corrige	106213
2019	rattrapage	sujet	106214
2019	rattrapage	corrige	106215
2020	normale	sujet	109762
2020	normale	corrige	109763
2020	rattrapage	sujet	109764
2020	rattrapage	corrige	109765
2021	normale	sujet	127209
2021	normale	corrige	136844
2021	rattrapage	sujet	136845
2021	rattrapage	corrige	136846
2022	normale	sujet	136626
2022	normale	corrige	136847
2022	rattrapage	sujet	136627
2022	rattrapage	corrige	136848
2023	normale	sujet	142305
2023	normale	corrige	142306
2023	rattrapage	sujet	142307
2023	rattrapage	corrige	142308
2024	normale	sujet	145774
2024	normale	corrige	145775
2024	rattrapage	sujet	145776
2024	rattrapage	corrige	145777
2025	normale	sujet	145632
2025	normale	corrige	145778
